R6C_ID	RULE	FILE	FUNCTION_OR_CONTEXT	LINE	EXECUTION_PATH	ENTRY_OR_VALUE	IMPACT	EXISTING_CONTROL	TEST_OR_EVIDENCE	PROPOSED_CORRECTION	FINAL_DECISION
R6C-001	G115	internal/browser/launch_chromium.go	browseForgePersonaSeed	1048	validated positive fingerprint seed -> uint64	int64 seed from fingerprint map	negative/invalid input could wrap or create incoherent persona	fingerprintInt returns only n>0; profile seed branch requires >0; fallback hash nonzero	R4BoundedArchiveSizeAndPersonaSeed positive/negative/large	retain bounds and consider explicit max policy if product contract requires	MITIGATED_CONTROL_SCANNER_OPEN
R6C-002	G115	internal/browser/archive_security.go	archive size/copy	263	archive header int64 -> bounded uint64 -> int64 for CopyN	TAR/ZIP reported size	negative, truncation or oversized allocation/copy	negative rejection; per-file/total limits; uint64 <= MaxInt64 before int64 conversion	R4BoundedArchiveSizeAndPersonaSeed and archive rejection tests	retain checkedArchiveSize/copyArchiveBytes bounds	MITIGATED_CONTROL_SCANNER_OPEN
R6C-003	G115	internal/browser/archive_security.go	archive size/copy	221	archive header int64 -> bounded uint64 -> int64 for CopyN	TAR/ZIP reported size	negative, truncation or oversized allocation/copy	negative rejection; per-file/total limits; uint64 <= MaxInt64 before int64 conversion	R4BoundedArchiveSizeAndPersonaSeed and archive rejection tests	retain checkedArchiveSize/copyArchiveBytes bounds	MITIGATED_CONTROL_SCANNER_OPEN
R6C-004	G404	internal/humanize/mouse.go	humanize movement/timing	89	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-005	G404	internal/humanize/mouse.go	humanize movement/timing	37	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-006	G404	internal/humanize/mouse.go	humanize movement/timing	36	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-007	G404	internal/humanize/math.go	humanize movement/timing	128	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-008	G404	internal/humanize/math.go	humanize movement/timing	120	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-009	G404	internal/humanize/math.go	humanize movement/timing	115	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-010	G404	internal/humanize/math.go	humanize movement/timing	108	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-011	G404	internal/humanize/math.go	humanize movement/timing	98	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-012	G404	internal/humanize/math.go	humanize movement/timing	97	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-013	G404	internal/humanize/math.go	humanize movement/timing	77	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-014	G404	internal/humanize/math.go	humanize movement/timing	76	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-015	G404	internal/humanize/math.go	humanize movement/timing	59	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
