id	rule	severity	confidence	file	function	line	source	executed_path	asset	precondition	impact_CIA	application_control	existing_test	proposed_fix	lot	status	details
R4-001	G115	HIGH	MEDIUM	internal/browser/launch_chromium.go	browseForgePersonaSeed	1015	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	size, port, identifier or buffer value	size, port, identifier or buffer value	out-of-range external or archive value	integrity/availability	positive/range checks exist on selected paths	boundary and overflow tests where available	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	integer overflow conversion int64 -> uint64
R4-002	G115	HIGH	MEDIUM	internal/browser/archive_security.go	copyArchiveBytes	244	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	size, port, identifier or buffer value	size, port, identifier or buffer value	out-of-range external or archive value	integrity/availability	positive/range checks exist on selected paths	boundary and overflow tests where available	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	integer overflow conversion int64 -> uint64
R4-003	G115	HIGH	MEDIUM	internal/browser/archive_security.go	secureExtractTarGz	209	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	size, port, identifier or buffer value	size, port, identifier or buffer value	out-of-range external or archive value	integrity/availability	positive/range checks exist on selected paths	boundary and overflow tests where available	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	integer overflow conversion int64 -> uint32
R4-004	G115	HIGH	MEDIUM	cmd/server/cli_runtime.go	normalizedRestoreMode	845	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	size, port, identifier or buffer value	size, port, identifier or buffer value	out-of-range external or archive value	integrity/availability	positive/range checks exist on selected paths	boundary and overflow tests where available	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	integer overflow conversion int64 -> uint32
R4-005	G404	HIGH	MEDIUM	internal/humanize/mouse.go	traversePath	89	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-006	G404	HIGH	MEDIUM	internal/humanize/mouse.go	Click	37	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-007	G404	HIGH	MEDIUM	internal/humanize/mouse.go	Click	36	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-008	G404	HIGH	MEDIUM	internal/humanize/math.go	randRangeInt	128	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-009	G404	HIGH	MEDIUM	internal/humanize/math.go	randRange	120	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-010	G404	HIGH	MEDIUM	internal/humanize/math.go	logNormalDelay	115	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
