id	rule	file	line	status	classification	control_or_reason	evidence
R4C-001	G101	internal/api/admin_token.go	22	SCANNER_OPEN_MANUAL_REVIEW	Pattern hit on metadata filename, not embedded credential	adminTokenMetadataName is a filename; persisted metadata contains TokenSHA256 and redacts raw token; synthetic tests assert no raw token leakage	internal/api/admin_token_test.go; gosec_after_r4c_final.json
R4C-002	G107	internal/browser/download.go	550	MITIGATED_CONTROL_SCANNER_CLEARED	Controlled runtime URL helper with bounded HTTP client	Explicit GET client timeout 60s; redirects rejected; local httptest download regression passed; final G107 count 0	internal/browser/download_test.go; gosec_after_r4c_final.json
R4C-003	G115	internal/browser/launch_chromium.go	1019	MITIGATED_CONTROL_SCANNER_OPEN	Positive-only fingerprintInt result before uint64 conversion	fingerprintInt returns ok only for n > 0; positive int64 values fit uint64; negative/wrapped-seed regression passed	internal/browser/download_test.go; gosec_after_r4c_final.json
R4C-004	G115	internal/browser/archive_security.go	252	MITIGATED_CONTROL_SCANNER_OPEN	Archive size bounded before comparison	checkedArchiveSize rejects negative values; maxArchiveFileBytes and int64 ceiling checked before io.CopyN; oversized/negative regression passed	internal/browser/archive_security_test.go; gosec_after_r4c_final.json
R4C-005	G115	internal/browser/archive_security.go	210	MITIGATED_CONTROL_SCANNER_OPEN	Archive mode is masked to owner-only os.FileMode	normalizedArchiveMode masks mode to 0700 and defaults to 0600; no unbounded user-controlled integer is used as a permission policy	internal/browser/archive_security.go; gosec_after_r4c_final.json
R4C-006	G302	internal/groups/store.go	48	SCANNER_OPEN_MANUAL_REVIEW	0700 is intentional directory mode, not file mode	Groups directory stores proxy metadata and is repaired to owner-only 0700; file persistence remains private	internal/groups/store.go; internal/groups/store_test.go; gosec_after_r4c_final.json
R4C-007	G302	internal/browser/download.go	344	SCANNER_OPEN_MANUAL_REVIEW	0755 is required for installed executable	BrowseForge Chromium binary is executable under private 0700 runtime parent; archive files and markers remain owner-only	internal/browser/download_test.go; gosec_after_r4c_final.json
R4C-008	G302	internal/browser/download.go	404	SCANNER_OPEN_MANUAL_REVIEW	0755 is required for installed executable	Camoufox binary is executable under private 0700 runtime parent; native Camoufox execution remains unexecuted	internal/browser/download.go; gosec_after_r4c_final.json
R4C-009	G302	internal/browser/download.go	496	SCANNER_OPEN_MANUAL_REVIEW	0755 is required for installed executable	CloakBrowser binary is executable under private 0700 runtime parent; native execution remains unexecuted	internal/browser/download.go; gosec_after_r4c_final.json
R4C-010	G302	cmd/server/cli.go	763	SCANNER_OPEN_MANUAL_REVIEW	0700 is intentional runtime directory mode	ensureRuntimeDirs repairs profiles/data/logs/browsers directories to owner-only 0700; files use narrower modes	cmd/server/cli_test.go; gosec_after_r4c_final.json
R4C-011	G404	internal/humanize/keyboard.go	58	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for typing timing/behavior, not authentication, tokens, secrets or authorization	internal/humanize/keyboard.go; gosec_after_r4c_final.json
R4C-012	G404	internal/humanize/keyboard.go	92	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for typing timing/behavior, not authentication, tokens, secrets or authorization	internal/humanize/keyboard.go; gosec_after_r4c_final.json
R4C-013	G404	internal/humanize/mouse.go	36	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for mouse movement behavior, not security decisions	internal/humanize/mouse.go; gosec_after_r4c_final.json
R4C-014	G404	internal/humanize/mouse.go	37	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for mouse movement behavior, not security decisions	internal/humanize/mouse.go; gosec_after_r4c_final.json
R4C-015	G404	internal/humanize/mouse.go	89	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for mouse movement behavior, not security decisions	internal/humanize/mouse.go; gosec_after_r4c_final.json
R4C-016	G404	internal/humanize/math.go	49	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-017	G404	internal/humanize/math.go	55	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-018	G404	internal/humanize/math.go	59	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-019	G404	internal/humanize/math.go	76	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-020	G404	internal/humanize/math.go	77	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-021	G404	internal/humanize/math.go	97	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-022	G404	internal/humanize/math.go	98	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-023	G404	internal/humanize/math.go	108	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-024	G404	internal/humanize/math.go	115	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-025	G404	internal/humanize/math.go	120	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-026	G404	internal/humanize/math.go	128	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic humanization randomness	Used only for motion/curve variation, not security decisions	internal/humanize/math.go; gosec_after_r4c_final.json
R4C-027	G404	internal/fingerprint/pool.go	64	SCANNER_OPEN_MANUAL_REVIEW	Non-cryptographic selection randomness	Used only to select synthetic fingerprint pool entries; not used for secrets or authorization	internal/fingerprint/pool.go; gosec_after_r4c_final.json
