id	rule	severity	confidence	file	line	details	control	disposition	head_count
R2-PERM-001	G302	MEDIUM	HIGH	internal/config/config.go	169	Expect file permissions to be 0600 or less	SetupLogger uses filepath.Dir, 0700 directory, 0600 file, explicit fallback close	CORRECTED_AND_VERIFIED	4
R2-PERM-002	G302	MEDIUM	HIGH	internal/browser/download.go	473	Expect file permissions to be 0600 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	4
R2-PERM-003	G302	MEDIUM	HIGH	internal/browser/download.go	394	Expect file permissions to be 0600 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	4
R2-PERM-004	G302	MEDIUM	HIGH	internal/browser/download.go	342	Expect file permissions to be 0600 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	4
R2-PERM-005	G302	MEDIUM	HIGH	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	migration backups/outputs 0600; full backup 0600 and explicit tar/gzip/file closes	CORRECTED_AND_VERIFIED	4
R2-PERM-006	G301	MEDIUM	HIGH	internal/workflow/engine.go	251	Expect directory permissions to be 0750 or less	screenshot output uses 0700/0600; request/response errors propagated	CORRECTED_AND_VERIFIED	17
R2-PERM-007	G301	MEDIUM	HIGH	internal/mcp/advanced_tools.go	724	Expect directory permissions to be 0750 or less	saved screenshots use 0700/0600	CORRECTED_AND_VERIFIED	17
R2-PERM-008	G301	MEDIUM	HIGH	internal/groups/store.go	45	Expect directory permissions to be 0750 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	17
R2-PERM-009	G301	MEDIUM	HIGH	internal/config/config.go	168	Expect directory permissions to be 0750 or less	SetupLogger uses filepath.Dir, 0700 directory, 0600 file, explicit fallback close	CORRECTED_AND_VERIFIED	17
R2-PERM-010	G301	MEDIUM	HIGH	internal/browser/launch_firefox.go	80	Expect directory permissions to be 0750 or less	browser-data/downloads use 0700	CORRECTED_AND_VERIFIED	17
R2-PERM-011	G301	MEDIUM	HIGH	internal/browser/launch_firefox.go	66	Expect directory permissions to be 0750 or less	browser-data/downloads use 0700	CORRECTED_AND_VERIFIED	17
R2-PERM-012	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	1913	Expect directory permissions to be 0750 or less	browser downloads/prefs/persona/cache use private dirs/files; executable modes excluded as intentional	CORRECTED_AND_VERIFIED	17
R2-PERM-013	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	949	Expect directory permissions to be 0750 or less	browser downloads/prefs/persona/cache use private dirs/files; executable modes excluded as intentional	CORRECTED_AND_VERIFIED	17
R2-PERM-014	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	196	Expect directory permissions to be 0750 or less	browser downloads/prefs/persona/cache use private dirs/files; executable modes excluded as intentional	CORRECTED_AND_VERIFIED	17
R2-PERM-015	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	191	Expect directory permissions to be 0750 or less	browser downloads/prefs/persona/cache use private dirs/files; executable modes excluded as intentional	CORRECTED_AND_VERIFIED	17
R2-PERM-016	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	64	Expect directory permissions to be 0750 or less	browser downloads/prefs/persona/cache use private dirs/files; executable modes excluded as intentional	CORRECTED_AND_VERIFIED	17
R2-PERM-017	G301	MEDIUM	HIGH	internal/browser/download.go	449	Expect directory permissions to be 0750 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	17
R2-PERM-018	G301	MEDIUM	HIGH	internal/browser/download.go	368	Expect directory permissions to be 0750 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	17
R2-PERM-019	G301	MEDIUM	HIGH	internal/browser/download.go	307	Expect directory permissions to be 0750 or less	source path requires manual lifecycle/I/O review	NEEDS_MANUAL_REVIEW	17
