package	version	osv_id	summary	aliases	fixed_versions	imports	details	references
stdlib	1.25.0	GO-2025-3955	CrossOriginProtection insecure bypass patterns not limited to exact matches in net/http	BIT-golang-2025-47910,CVE-2025-47910	1.25.1	net/http:CrossOriginProtection.AddInsecureBypassPattern	When using http.CrossOriginProtection, the AddInsecureBypassPattern method can unexpectedly bypass more requests than intended. CrossOriginProtection then skips validation, but forwards the original request path, which may be served by a different handler without the intended security protections.	https://go.dev/cl/699275;https://go.dev/issue/75054;https://groups.google.com/g/golang-announce/c/PtW9VW21NPs/m/DJhMQ-m5AQAJ
stdlib	1.25.0	GO-2025-4006	Excessive CPU consumption in ParseAddress in net/mail	BIT-golang-2025-61725,CVE-2025-61725	1.24.8,1.25.2	net/mail:AddressParser.Parse,AddressParser.ParseList,Header.AddressList,ParseAddress,ParseAddressList,addrParser.consumeDomainLiteral	The ParseAddress function constructs domain-literal address components through repeated string concatenation. When parsing large domain-literal components, this can cause excessive CPU consumption.	https://go.dev/cl/709860;https://go.dev/issue/75680;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4007	Quadratic complexity when checking name constraints in crypto/x509	BIT-golang-2025-58187,CVE-2025-58187	1.24.9,1.25.3	crypto/x509:CertPool.AppendCertsFromPEM,Certificate.CheckCRLSignature,Certificate.CheckSignature,Certificate.CheckSignatureFrom,Certificate.CreateCRL,Certificate.Verify,CertificateRequest.CheckSignature,CreateCertificate,CreateCertificateRequest,CreateRevocationList,DecryptPEMBlock,EncryptPEMBlock,MarshalECPrivateKey,MarshalPKCS1PrivateKey,MarshalPKCS1PublicKey,MarshalPKCS8PrivateKey,MarshalPKIXPublicKey,ParseCRL,ParseCertificate,ParseCertificateRequest,ParseCertificates,ParseDERCRL,ParseECPrivateKey,ParsePKCS1PrivateKey,ParsePKCS1PublicKey,ParsePKCS8PrivateKey,ParsePKIXPublicKey,ParseRevocationList,RevocationList.CheckSignatureFrom,SetFallbackRoots,SystemCertPool,domainToReverseLabels,parseSANExtension	Due to the design of the name constraint checking algorithm, the processing time of some inputs scale non-linearly with respect to the size of the certificate.  This affects programs which validate arbitrary certificate chains.	https://go.dev/issue/75681;https://go.dev/cl/709854;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4008	ALPN negotiation error contains attacker controlled information in crypto/tls	BIT-golang-2025-58189,CVE-2025-58189	1.24.8,1.25.2	crypto/tls:Conn.Handshake,Conn.HandshakeContext,Conn.Read,Conn.Write,Dial,DialWithDialer,Dialer.Dial,Dialer.DialContext,QUICConn.Start,negotiateALPN	When Conn.Handshake fails during ALPN negotiation the error contains attacker controlled information (the ALPN protocols sent by the client) which is not escaped.	https://go.dev/cl/707776;https://go.dev/issue/75652;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4009	Quadratic complexity when parsing some invalid inputs in encoding/pem	BIT-golang-2025-61723,CVE-2025-61723	1.24.8,1.25.2	encoding/pem:Decode,getLine	The processing time for parsing some invalid inputs scales non-linearly with respect to the size of the input.  This affects programs which parse untrusted PEM inputs.	https://go.dev/issue/75676;https://go.dev/cl/709858;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4010	Insufficient validation of bracketed IPv6 hostnames in net/url	BIT-golang-2025-47912,CVE-2025-47912	1.24.8,1.25.2	net/url:JoinPath,Parse,ParseRequestURI,URL.Parse,URL.UnmarshalBinary,parseHost	The Parse function permits values other than IPv6 addresses to be included in square brackets within the host component of a URL. RFC 3986 permits IPv6 addresses to be included within the host component, enclosed within square brackets. For example: "http://[::1]/". IPv4 addresses and hostnames must not appear within square brackets. Parse did not enforce this requirement.	https://go.dev/issue/75678;https://go.dev/cl/709857;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4011	Parsing DER payload can cause memory exhaustion in encoding/asn1	BIT-golang-2025-58185,CVE-2025-58185	1.24.8,1.25.2	encoding/asn1:Unmarshal,UnmarshalWithParams,parseSequenceOf	Parsing a maliciously crafted DER payload could allocate large amounts of memory, causing memory exhaustion.	https://go.dev/issue/75671;https://go.dev/cl/709856;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4012	Lack of limit when parsing cookies can cause memory exhaustion in net/http	BIT-golang-2025-58186,CVE-2025-58186	1.24.8,1.25.2	net/http:Client.Do,Client.Get,Client.Head,Client.Post,Client.PostForm,Get,Head,ParseCookie,Post,PostForm,Request.Cookie,Request.Cookies,Request.CookiesNamed,Response.Cookies,readCookies,readSetCookies	Despite HTTP headers having a default limit of 1MB, the number of cookies that can be parsed does not have a limit. By sending a lot of very small cookies such as "a=;", an attacker can make an HTTP server allocate a large amount of structs, causing large memory consumption.	https://go.dev/issue/75672;https://go.dev/cl/709855;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4013	Panic when validating certificates with DSA public keys in crypto/x509	BIT-golang-2025-58188,CVE-2025-58188	1.24.8,1.25.2	crypto/x509:Certificate.Verify,alreadyInChain	Validating certificate chains which contain DSA public keys can cause programs to panic, due to a interface cast that assumes they implement the Equal method.  This affects programs which validate arbitrary certificate chains.	https://go.dev/cl/709853;https://go.dev/issue/75675;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4014	Unbounded allocation when parsing GNU sparse map in archive/tar	BIT-golang-2025-58183,CVE-2025-58183	1.24.8,1.25.2	archive/tar:Reader.Next,readGNUSparseMap1x0	tar.Reader does not set a maximum size on the number of sparse region data blocks in GNU tar pax 1.0 sparse files. A maliciously-crafted archive containing a large number of sparse regions can cause a Reader to read an unbounded amount of data from the archive into memory. When reading from a compressed source, a small compressed input can result in large allocations.	https://go.dev/cl/709861;https://go.dev/issue/75677;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
