id	rule	file	line	status	classification	control_or_reason	evidence
R4D-001	G204	internal/browser/download.go	358	SCANNER_OPEN_MANUAL_REVIEW	Darwin xattr subprocess uses constant executable and bounded context	Executable is literal xattr; path is an application-selected runtime directory; CommandContext timeout is 5s; native Darwin execution was not run	internal/browser/download.go; R4_C_FINAL_RAW.log
R4D-002	G204	internal/browser/download.go	485	SCANNER_OPEN_MANUAL_REVIEW	Darwin xattr subprocess uses constant executable and bounded context	Executable is literal xattr; path is an application-selected runtime directory; CommandContext timeout is 5s; native Darwin execution was not run	internal/browser/download.go; R4_C_FINAL_RAW.log
R4D-003	G204	cmd/server/main.go	560	MITIGATED_CONTROL_SCANNER_OPEN	Platform launcher command is constant	openBrowser selects literal open/xdg-open/rundll32 commands; URL is constructed from local readiness and loopback configuration	cmd/server/main.go; cmd/server/cli_test.go
R4D-004	G204	cmd/server/main.go	562	MITIGATED_CONTROL_SCANNER_OPEN	Platform launcher command is constant	openBrowser selects literal open/xdg-open/rundll32 commands; URL is constructed from local readiness and loopback configuration	cmd/server/main.go; cmd/server/cli_test.go
R4D-005	G204	cmd/server/main.go	564	MITIGATED_CONTROL_SCANNER_OPEN	Platform launcher command is constant	openBrowser selects literal open/xdg-open/rundll32 commands; URL is constructed from local readiness and loopback configuration	cmd/server/main.go; cmd/server/cli_test.go
R4D-006	G704	internal/api/sessions.go	478	MITIGATED_CONTROL_SCANNER_OPEN	Internal WebSocket dial is loopback/path/port constrained	validateInternalPlaywrightEndpoint rejects external host/IP, scheme, port, path, userinfo, query and fragment before DialTimeout; handshake and dial deadlines are bounded	internal/api/playwright_ws_security_test.go; internal/api/sessions.go
R4D-007	G704	cmd/server/cli_runtime.go	959	MITIGATED_CONTROL_SCANNER_OPEN	Metadata backup HTTP target is loopback constrained	validateCLILoopbackURL runs before request; local HTTP client timeout and redirect refusal are active	cmd/server/cli_network_security_test.go; cmd/server/cli_runtime.go
R4D-008	G704	cmd/server/cli_runtime.go	964	MITIGATED_CONTROL_SCANNER_OPEN	Metadata backup HTTP target is loopback constrained	validateCLILoopbackURL runs before request; local HTTP client timeout and redirect refusal are active	cmd/server/cli_network_security_test.go; cmd/server/cli_runtime.go
R4D-009	G704	cmd/server/cli_runtime.go	1032	MITIGATED_CONTROL_SCANNER_OPEN	Metadata restore HTTP target is loopback constrained	validateCLILoopbackURL runs before request; local HTTP client timeout and redirect refusal are active	cmd/server/cli_network_security_test.go; cmd/server/cli_runtime.go
R4D-010	G704	cmd/server/cli.go	985	MITIGATED_CONTROL_SCANNER_OPEN	CLI GET target is loopback constrained	apiGET validates target before constructing request and uses redirect-blocked local client	cmd/server/cli_network_security_test.go; cmd/server/cli.go
R4D-011	G704	cmd/server/cli.go	1004	MITIGATED_CONTROL_SCANNER_OPEN	CLI POST target is loopback constrained	apiPOST validates target before constructing request and uses redirect-blocked local client	cmd/server/cli_network_security_test.go; cmd/server/cli.go
R4D-012	G704	cmd/server/cli.go	1088	MITIGATED_CONTROL_SCANNER_OPEN	JSON API target is loopback constrained	 doJSON validates request URL and uses bounded local client; external hosts and redirects are rejected	cmd/server/cli_network_security_test.go; cmd/server/cli.go
