id	rule	file	function	line	source_entry	executed_path	protected_asset	preconditions	impact_cia	existing_controls	existing_test	proposed_fix	lot	decision	evidence
R5-001	G115	internal/browser/launch_chromium.go	-	1019	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#1
R5-002	G115	internal/browser/archive_security.go	-	252	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#2
R5-003	G115	internal/browser/archive_security.go	-	210	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#3
R5-004	G404	internal/humanize/mouse.go	-	89	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#4
R5-005	G404	internal/humanize/mouse.go	-	37	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#5
R5-006	G404	internal/humanize/mouse.go	-	36	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#6
R5-007	G404	internal/humanize/math.go	-	128	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#7
R5-008	G404	internal/humanize/math.go	-	120	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#8
R5-009	G404	internal/humanize/math.go	-	115	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#9
R5-010	G404	internal/humanize/math.go	-	108	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#10
R5-011	G404	internal/humanize/math.go	-	98	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#11
R5-012	G404	internal/humanize/math.go	-	97	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#12
R5-013	G404	internal/humanize/math.go	-	77	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#13
R5-014	G404	internal/humanize/math.go	-	76	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#14
R5-015	G404	internal/humanize/math.go	-	59	Gosec source-only baseline on 079c452	To be confirmed per lot; source path is statically reachable	application I/O, runtime, profile, token, network or integrity depending on path	Requires the relevant local caller/path and input condition; lot-specific proof required	Triage required: confidentiality/integrity/availability classification	R4 controls retained; see R4 evidence and R5 threat model	Existing package tests plus lot-specific regression to be selected	Narrow fix or documented manual review; no global suppression	R5-C	OPEN_REVIEW	evidence/GOSEC_R5/gosec_source_only_baseline.json#15
