id	rule	severity	confidence	file	line	function	entry	impact	control	test	head_rule_count	disposition
R2L2-001	G704	HIGH	HIGH	internal/api/sessions.go	477	playwrightWSProxy	manager-owned ConnectURL; not client URL	SSRF if manager endpoint validation were bypassed	validateInternalPlaywrightEndpoint; ws loopback/path/port/userinfo/query/fragment policy; DialTimeout and handshake deadline; validator regressions	TestValidateInternalPlaywrightEndpoint: loopback/external/scheme/port/path/userinfo/query/fragment	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-002	G704	HIGH	HIGH	cmd/server/cli_runtime.go	905	createMetadataBackup / restoreMetadataBackup	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-003	G704	HIGH	HIGH	cmd/server/cli_runtime.go	856	createMetadataBackup / restoreMetadataBackup	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-004	G704	HIGH	HIGH	cmd/server/cli_runtime.go	851	createMetadataBackup / restoreMetadataBackup	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-005	G704	HIGH	HIGH	cmd/server/cli.go	1042	apiGET, apiPOST, doJSON	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-006	G704	HIGH	HIGH	cmd/server/cli.go	998	apiGET, apiPOST, doJSON	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-007	G704	HIGH	HIGH	cmd/server/cli.go	982	apiGET, apiPOST, doJSON	CLI --base-url or configured Core base URL	SSRF/token disclosure if external base or redirect were accepted	validateCLILoopbackURL; loopback-only HTTP(S); query/fragment/userinfo refusal; external redirect refusal; CLI metadata tests	CLI URL boundaries, API GET/POST, metadata and external redirect refusal	7	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-008	G204	MEDIUM	HIGH	internal/browser/download.go	450	clearMacOSQuarantine / runtime download callers	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant xattr binary and separated args; CommandContext 10s timeout; Darwin path not executed in Linux environment	CLI open external URL refusal; download tests; source review	5	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-009	G204	MEDIUM	HIGH	internal/browser/download.go	371	clearMacOSQuarantine / runtime download callers	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant xattr binary and separated args; CommandContext 10s timeout; Darwin path not executed in Linux environment	CLI open external URL refusal; download tests; source review	5	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-010	G204	MEDIUM	HIGH	internal/browser/download.go	331	clearMacOSQuarantine / runtime download callers	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant xattr binary and separated args; CommandContext 10s timeout; Darwin path not executed in Linux environment	CLI open external URL refusal; download tests; source review	5	MITIGATED_CONTROL_SCANNER_OPEN
R2L2-011	G204	MEDIUM	HIGH	cmd/server/main.go	559	openBrowser	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant platform binary and separated arguments; open URL constrained to loopback by runOpenCommand; subprocess lifecycle remains a review item	CLI open external URL refusal; download tests; source review	5	NEEDS_MANUAL_REVIEW
R2L2-012	G204	MEDIUM	HIGH	cmd/server/main.go	557	openBrowser	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant platform binary and separated arguments; open URL constrained to loopback by runOpenCommand; subprocess lifecycle remains a review item	CLI open external URL refusal; download tests; source review	5	NEEDS_MANUAL_REVIEW
R2L2-013	G204	MEDIUM	HIGH	cmd/server/main.go	555	openBrowser	platform/runtime path or generated local dashboard URL	command execution/path opening or orphaned helper if inputs/lifecycle were unsafe	constant platform binary and separated arguments; open URL constrained to loopback by runOpenCommand; subprocess lifecycle remains a review item	CLI open external URL refusal; download tests; source review	5	NEEDS_MANUAL_REVIEW
