R5_B_ID	STATUS	RULE	FILE	LINE	DETAILS	CONTROL_OR_REVIEW	EVIDENCE
R5-B-001	REMEDIATED_R5B	G304	internal/api/router.go	833	Potential file inclusion via variable	root-scoped token bootstrap control; regression passed	evidence/GOSEC_R5/gosec_after_r5a.json; evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-002	OPEN_REVIEW	G115	internal/browser/launch_chromium.go	1019	integer overflow conversion int64 -> uint64	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-003	OPEN_REVIEW	G115	internal/browser/archive_security.go	252	integer overflow conversion int64 -> uint64	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-004	OPEN_REVIEW	G115	internal/browser/archive_security.go	210	integer overflow conversion int64 -> uint32	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-005	OPEN_REVIEW	G404	internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-006	OPEN_REVIEW	G404	internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-007	OPEN_REVIEW	G404	internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-008	OPEN_REVIEW	G404	internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-009	OPEN_REVIEW	G404	internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-010	OPEN_REVIEW	G404	internal/humanize/math.go	115	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-011	OPEN_REVIEW	G404	internal/humanize/math.go	108	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-012	OPEN_REVIEW	G404	internal/humanize/math.go	98	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-013	OPEN_REVIEW	G404	internal/humanize/math.go	97	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-014	OPEN_REVIEW	G404	internal/humanize/math.go	77	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-015	OPEN_REVIEW	G404	internal/humanize/math.go	76	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-016	OPEN_REVIEW	G404	internal/humanize/math.go	59	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-017	OPEN_REVIEW	G404	internal/humanize/math.go	55	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-018	OPEN_REVIEW	G404	internal/humanize/math.go	49	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-019	OPEN_REVIEW	G404	internal/humanize/keyboard.go	92	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-020	OPEN_REVIEW	G404	internal/humanize/keyboard.go	58	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-021	OPEN_REVIEW	G404	internal/fingerprint/pool.go	64	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-022	OPEN_REVIEW	G704	internal/api/sessions.go	478	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-023	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	1032	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-024	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	964	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-025	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	959	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-026	OPEN_REVIEW	G704	cmd/server/cli.go	1088	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-027	OPEN_REVIEW	G704	cmd/server/cli.go	1004	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-028	OPEN_REVIEW	G704	cmd/server/cli.go	985	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-029	OPEN_REVIEW	G101	internal/api/admin_token.go	22	Potential hardcoded credentials	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-030	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	975	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
