id	rule	severity	confidence	file	line	details	status	rationale
R3-001	G115	HIGH	MEDIUM	internal/launch/id.go	56	integer overflow conversion uint64 -> byte	CORRECTED_AND_VERIFIED	The four implicit byte truncations were replaced with explicit binary.BigEndian encoding.
R3-002	G115	HIGH	MEDIUM	internal/launch/id.go	55	integer overflow conversion uint64 -> byte	CORRECTED_AND_VERIFIED	The four implicit byte truncations were replaced with explicit binary.BigEndian encoding.
R3-003	G115	HIGH	MEDIUM	internal/launch/id.go	53	integer overflow conversion uint64 -> byte	CORRECTED_AND_VERIFIED	The four implicit byte truncations were replaced with explicit binary.BigEndian encoding.
R3-004	G115	HIGH	MEDIUM	internal/launch/id.go	50	integer overflow conversion uint64 -> byte	CORRECTED_AND_VERIFIED	The four implicit byte truncations were replaced with explicit binary.BigEndian encoding.
R3-005	G115	HIGH	MEDIUM	internal/browser/launch_chromium.go	1015	integer overflow conversion int64 -> uint64	MITIGATED_CONTROL_SCANNER_OPEN	The conversion is bounded by a preceding range/size check or a positive-value contract; Gosec remains visible for manual review.
R3-006	G115	HIGH	MEDIUM	internal/browser/archive_security.go	244	integer overflow conversion int64 -> uint64	MITIGATED_CONTROL_SCANNER_OPEN	The conversion is bounded by a preceding range/size check or a positive-value contract; Gosec remains visible for manual review.
R3-007	G115	HIGH	MEDIUM	internal/browser/archive_security.go	209	integer overflow conversion int64 -> uint32	MITIGATED_CONTROL_SCANNER_OPEN	The conversion is bounded by a preceding range/size check or a positive-value contract; Gosec remains visible for manual review.
R3-008	G115	HIGH	MEDIUM	cmd/server/cli_runtime.go	828	integer overflow conversion int64 -> uint32	MITIGATED_CONTROL_SCANNER_OPEN	The conversion is bounded by a preceding range/size check or a positive-value contract; Gosec remains visible for manual review.
R3-009	G404	HIGH	MEDIUM	internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-010	G404	HIGH	MEDIUM	internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-011	G404	HIGH	MEDIUM	internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-012	G404	HIGH	MEDIUM	internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-013	G404	HIGH	MEDIUM	internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-014	G404	HIGH	MEDIUM	internal/humanize/math.go	115	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-015	G404	HIGH	MEDIUM	internal/humanize/math.go	108	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-016	G404	HIGH	MEDIUM	internal/humanize/math.go	98	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-017	G404	HIGH	MEDIUM	internal/humanize/math.go	97	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-018	G404	HIGH	MEDIUM	internal/humanize/math.go	77	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-019	G404	HIGH	MEDIUM	internal/humanize/math.go	76	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-020	G404	HIGH	MEDIUM	internal/humanize/math.go	59	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-021	G404	HIGH	MEDIUM	internal/humanize/math.go	55	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-022	G404	HIGH	MEDIUM	internal/humanize/math.go	49	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-023	G404	HIGH	MEDIUM	internal/humanize/keyboard.go	84	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-024	G404	HIGH	MEDIUM	internal/humanize/keyboard.go	56	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-025	G404	HIGH	MEDIUM	internal/fingerprint/pool.go	64	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	NEEDS_MANUAL_REVIEW	math/rand is used for humanization/fingerprint selection rather than cryptographic authorization; replacement requires behavior review.
R3-026	G704	HIGH	HIGH	internal/api/sessions.go	478	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-027	G704	HIGH	HIGH	cmd/server/cli_runtime.go	924	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-028	G704	HIGH	HIGH	cmd/server/cli_runtime.go	872	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-029	G704	HIGH	HIGH	cmd/server/cli_runtime.go	867	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-030	G704	HIGH	HIGH	cmd/server/cli.go	1088	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-031	G704	HIGH	HIGH	cmd/server/cli.go	1004	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
R3-032	G704	HIGH	HIGH	cmd/server/cli.go	985	SSRF via taint analysis	MITIGATED_CONTROL_SCANNER_OPEN	CLI and WebSocket paths enforce loopback, scheme, port, userinfo/query/fragment and timeout controls; static taint remains visible.
