R6_ID	PRIORITY	PHASE	RULE	FILE	LINE	DETAILS	REACHABILITY_PROOF_REQUIRED	CURRENT_STATUS
R6-001	P2	R6-P3 permissions/bounds/secrets	G115	internal/browser/launch_chromium.go	1019	integer overflow conversion int64 -> uint64	prove every conversion is bounded before conversion and test overflow/underflow cases	OPEN_BASELINE
R6-002	P2	R6-P3 permissions/bounds/secrets	G115	internal/browser/archive_security.go	252	integer overflow conversion int64 -> uint64	prove every conversion is bounded before conversion and test overflow/underflow cases	OPEN_BASELINE
R6-003	P2	R6-P3 permissions/bounds/secrets	G115	internal/browser/archive_security.go	210	integer overflow conversion int64 -> uint32	prove every conversion is bounded before conversion and test overflow/underflow cases	OPEN_BASELINE
R6-004	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-005	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-006	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-007	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-008	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-009	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	115	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-010	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	108	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
