R5_C_ID	STATUS	RULE	FILE	LINE	DETAILS	CLASSIFICATION	EVIDENCE
R5-C-001	OPEN_REVIEW	G115	internal/browser/launch_chromium.go	1019	integer overflow conversion int64 -> uint64	bounded archive/runtime conversion requires manual proof; retained open pending individual review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-002	OPEN_REVIEW	G115	internal/browser/archive_security.go	252	integer overflow conversion int64 -> uint64	bounded archive/runtime conversion requires manual proof; retained open pending individual review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-003	OPEN_REVIEW	G115	internal/browser/archive_security.go	210	integer overflow conversion int64 -> uint32	bounded archive/runtime conversion requires manual proof; retained open pending individual review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-004	OPEN_REVIEW	G404	internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-005	OPEN_REVIEW	G404	internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-006	OPEN_REVIEW	G404	internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-007	OPEN_REVIEW	G404	internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-008	OPEN_REVIEW	G404	internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-009	OPEN_REVIEW	G404	internal/humanize/math.go	115	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-010	OPEN_REVIEW	G404	internal/humanize/math.go	108	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
