rule	severity	confidence	file	line	details	post_file_rule_present	disposition	evidence
G703	HIGH	HIGH	internal/browser/download.go	645	Path traversal via taint analysis	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	784	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	756	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	753	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	710	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	707	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	694	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	691	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	687	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	656	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	590	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	587	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	577	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G703	HIGH	HIGH	cmd/server/cli_runtime.go	453	Path traversal via taint analysis	yes	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 confinement checks and transactional staging tested; scanner may remain open on tainted filesystem call
G122	HIGH	MEDIUM	cmd/server/cli_runtime.go	645	Filesystem operation in filepath.Walk/WalkDir callback uses race-prone path; consider root-scoped APIs (e.g. os.Root) to prevent symlink TOCTOU traversal	yes	NEEDS_MANUAL_REVIEW	createFullBackup still uses WalkDir; symlink TOCTOU requires a separate root-scoped audit
G304	MEDIUM	HIGH	internal/workflow/engine.go	52	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/mcp/advanced_tools.go	481	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/fingerprint/pool.go	25	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/config/config.go	169	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/config/config.go	90	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/download.go	644	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/download.go	629	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/download.go	598	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
