ID	RULE	FILE	FUNCTION	LINE	ENTRY_SOURCE	EXECUTED_PATH	PROTECTED_ASSET	EXPLOIT_PRECONDITIONS	IMPACT_C	IMPACT_I	IMPACT_A	PLATFORM	EXISTING_GUARD	NEGATIVE_TEST	GOSEC_RESULT	CLASSIFICATION	RECOMMENDED_ACTION	PRIORITY
R6-001	G115	internal/browser/launch_chromium.go	browseForgePersonaSeed	1048	fingerprint seed	positive validated seed -> uint64	persona coherence and numeric integrity	negative, oversized or out-of-range numeric input reaches conversion	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	fingerprintInt returns n>0; profile seed requires >0; nonzero hash fallback	download_test.go positive/negative/large seed	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain validation; add explicit max only if contract requires	P2
R6-002	G115	internal/browser/archive_security.go	archive size/copy	263	TAR/ZIP reported size	archive header int64 -> bounded uint64 -> int64	copy/truncation/overflow and availability	negative, oversized or out-of-range numeric input reaches conversion	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	negative rejection; per-file/total bounds; uint64 <= MaxInt64 before CopyN	archive size and extraction tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain checkedArchiveSize/copyArchiveBytes	P2
R6-003	G115	internal/browser/archive_security.go	archive size/copy	221	TAR/ZIP reported size	archive header int64 -> bounded uint64 -> int64	copy/truncation/overflow and availability	negative, oversized or out-of-range numeric input reaches conversion	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	negative rejection; per-file/total bounds; uint64 <= MaxInt64 before CopyN	archive size and extraction tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain checkedArchiveSize/copyArchiveBytes	P2
R6-004	G404	internal/humanize/mouse.go	humanize movement/timing	89	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-005	G404	internal/humanize/mouse.go	humanize movement/timing	37	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-006	G404	internal/humanize/mouse.go	humanize movement/timing	36	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-007	G404	internal/humanize/math.go	humanize movement/timing	128	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-008	G404	internal/humanize/math.go	humanize movement/timing	120	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-009	G404	internal/humanize/math.go	humanize movement/timing	115	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-010	G404	internal/humanize/math.go	humanize movement/timing	108	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-011	G404	internal/humanize/math.go	humanize movement/timing	98	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-012	G404	internal/humanize/math.go	humanize movement/timing	97	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-013	G404	internal/humanize/math.go	humanize movement/timing	77	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
