R6B_ID	RULE	FILE	FUNCTION_OR_CONTEXT	LINE	ENTRY_CONTROL	EXECUTION_PATH	EXISTING_GUARD	TEST_OR_LIMIT	CLASSIFICATION
R6B-001	G704	internal/api/sessions.go	handlePlaywrightWebSocket	478	manager-owned session.ConnectURL	HTTP upgrade -> validateInternalPlaywrightEndpoint -> 127.0.0.1 dial	ws scheme, loopback, port, exact session path, no userinfo/query/fragment, DialTimeout/deadline	playwright_ws_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-002	G704	cmd/server/cli_runtime.go	CLI HTTP helper/caller	1039	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-003	G704	cmd/server/cli_runtime.go	CLI HTTP helper/caller	968	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-004	G704	cmd/server/cli_runtime.go	CLI HTTP helper/caller	963	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-005	G704	cmd/server/cli.go	CLI HTTP helper/caller	1088	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-006	G704	cmd/server/cli.go	CLI HTTP helper/caller	1004	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-007	G704	cmd/server/cli.go	CLI HTTP helper/caller	985	CLI base URL or request URL	apiGET/apiPOST/doJSON or metadata backup -> HTTP client	validateCLILoopbackURL, HTTP timeout, external redirect refusal, constant API paths	cli_network_security_test.go	MITIGATED_CONTROL_SCANNER_OPEN
R6B-008	G204	internal/browser/download.go	openBrowser or macOS xattr cleanup	515	hardcoded platform branch; URL/path from validated caller	exec.Command/CommandContext with fixed executable and separated args	platform switch, no shell, fixed binary/options; xattr timeout where applicable; URL callers loopback	native GUI/macOS unavailable in Linux sandbox	MITIGATED_CONTROL_SCANNER_OPEN; NOT_EXECUTED_ENVIRONMENT_UNAVAILABLE
R6B-009	G204	internal/browser/download.go	openBrowser or macOS xattr cleanup	388	hardcoded platform branch; URL/path from validated caller	exec.Command/CommandContext with fixed executable and separated args	platform switch, no shell, fixed binary/options; xattr timeout where applicable; URL callers loopback	native GUI/macOS unavailable in Linux sandbox	MITIGATED_CONTROL_SCANNER_OPEN; NOT_EXECUTED_ENVIRONMENT_UNAVAILABLE
R6B-010	G204	cmd/server/main.go	openBrowser or macOS xattr cleanup	564	hardcoded platform branch; URL/path from validated caller	exec.Command/CommandContext with fixed executable and separated args	platform switch, no shell, fixed binary/options; xattr timeout where applicable; URL callers loopback	native GUI/macOS unavailable in Linux sandbox	MITIGATED_CONTROL_SCANNER_OPEN; NOT_EXECUTED_ENVIRONMENT_UNAVAILABLE
R6B-011	G204	cmd/server/main.go	openBrowser or macOS xattr cleanup	562	hardcoded platform branch; URL/path from validated caller	exec.Command/CommandContext with fixed executable and separated args	platform switch, no shell, fixed binary/options; xattr timeout where applicable; URL callers loopback	native GUI/macOS unavailable in Linux sandbox	MITIGATED_CONTROL_SCANNER_OPEN; NOT_EXECUTED_ENVIRONMENT_UNAVAILABLE
R6B-012	G204	cmd/server/main.go	openBrowser or macOS xattr cleanup	560	hardcoded platform branch; URL/path from validated caller	exec.Command/CommandContext with fixed executable and separated args	platform switch, no shell, fixed binary/options; xattr timeout where applicable; URL callers loopback	native GUI/macOS unavailable in Linux sandbox	MITIGATED_CONTROL_SCANNER_OPEN; NOT_EXECUTED_ENVIRONMENT_UNAVAILABLE
